id,name,category,skin type,concerns,ingredients,description,product_url
1,Skintific Toner 5% AHA BHA PHA Exfoliating 80ml,Toner,oily combination acne-prone normal,acne clogged pores excess oil uneven skin texture dull skin,"aha, bha, pha, niacinamide, galactomyces, ceramide","Toner untuk kulit berminyak dan berjerawat. Mengandung AHA, BHA, PHA, dan niacinamide untuk membantu mengangkat sel kulit mati, membersihkan pori-pori, dan meratakan tekstur kulit.",https://www.skintificindonesia.com/shop/toner/skintific-toner-5-aha-bha-pha-exfoliating-80ml/
2,Skintific Toner Pure Centella Acne Calming 80ml,Toner,oily combination acne-prone sensitive,acne redness irritation excess oil damaged skin barrier,"centella asiatica, panthenol, ceramide ectoin ","Toner untuk kulit berjerawat dan sensitif. Mengandung centella asiatica, panthenol, dan ceramide untuk membantu menenangkan kulit, meredakan kemerahan, dan menjaga skin barrier.",https://www.skintificindonesia.com/shop/toner/skintific-toner-pure-centella-acne-calming-80ml/
3,Skintific Toner 5X Ceramide Soothing 80ml,Toner,sensitive dry normal combination,sensitive skin redness irritation dry skin damaged skin barrier,"ceramide, probiotic complex, calendula","Toner untuk kulit sensitif dan kering. Mengandung ceramide, probiotic complex, dan calendula untuk membantu menenangkan kulit, menjaga kelembapan, dan memperkuat skin barrier.",https://www.skintificindonesia.com/shop/toner/skintific-toner-5x-ceramide-soothing-80ml/
4,Skintific Toner Pink Niacinamide Brightening Essence 80ml,Toner,all skin types,dull skin uneven skin tone dark spots dehydration,"niacinamide, tranexamic acid, alpha arbutin ","Toner untuk semua jenis kulit yang tampak kusam dan tidak merata. Mengandung niacinamide, alpha arbutin, dan tranexamic acid untuk membantu mencerahkan kulit, meratakan warna kulit, dan menjaga kelembapan",https://www.skintificindonesia.com/shop/toner/skintific-toner-niacinamide-brightening-essence-80ml/
5,Skintific Toner 4D Hyaluronic Acid Barrier Essence 100ml,Toner,normal dry combination sensitive,dehydration dry skin sensitive skin damaged skin barrier redness,"ceramide, hyaluronic acid, centella asiatica, provitamin b5","Toner untuk kulit dehidrasi dan sensitif. Mengandung ceramide, hyaluronic acid, centella asiatica, dan provitamin B5 untuk membantu menjaga kelembapan kulit, menenangkan iritasi, dan memperkuat skin barrier.",https://www.skintificindonesia.com/shop/toner/skintific-toner-4d-hyaluronic-acid-barrier-essence-100ml/
6,Skintific Toner Glycolic Daily Clarifying 80ml,Toner,normal oily combination,dull skin acne uneven skin tone enlarged pores rough texture excess oil,"niacinamide, glycolic acid, lactobionic acid","Toner untuk kulit kusam dan berjerawat. Mengandung niacinamide, glycolic acid, dan lactobionic acid untuk membantu mengangkat sel kulit mati, mencerahkan kulit, mengurangi tampilan pori-pori, dan memperhalus tekstur kulit.",https://www.skintificindonesia.com/shop/toner/skintific-toner-glycolic-daily-clarifying-80ml/
7,Skintific 5X Ceramide Low pH Cleanser Face Wash,Cleanser,all skin types,dehydration dry skin damaged skin barrier fine lines dark spots sensitive skin,"ceramide, amino acid, hyaluronic acid","Pembersih wajah untuk semua jenis kulit terutama kulit sensitif dan kering. Mengandung 5X ceramide, amino acid, dan hyaluronic acid untuk membantu membersihkan wajah secara lembut, menjaga kelembapan kulit, dan memperkuat skin barrier.",https://www.skintificindonesia.com/shop/ceramide/facewash-skintific-5x-ceramide-low-ph-cleanser/
8,Skintific Cleansing Amino Acid Gentle Mousse Face Wash,Cleanser,dry sensitive normal combination,dry skin dehydration sensitive skin damaged skin barrier dull skin,"amino acid, ceramides, white truffle, probiotic complex","Pembersih wajah untuk kulit kering dan sensitif. Mengandung amino acid, ceramide, dan white truffle untuk membantu membersihkan kulit, menjaga kelembapan, dan memperkuat skin barrier.",https://www.skintificindonesia.com/shop/facewash-skintific/facewash-skintific-cleansing-amino-acid-gentle-mousse/
9,Skintific White Truffle Cleansing Essence Face Wash,Cleanser,dry sensitive normal combination,dry skin dehydration sensitive skin damaged skin barrier,"white truffle, amino acid, ceramide, hyaluronic acid ","Pembersih wajah untuk kulit kering dan sensitif. Mengandung amino acid, ceramide, dan white truffle untuk membantu membersihkan kulit, menjaga kelembapan, dan memperkuat skin barrier.",https://www.skintificindonesia.com/shop/facewash-skintific/facewash-skintific-white-truffle-cleansing-essence/
10,Skintific Cleansing Balm Makeup Remover 40g,Cleanser,all skin types,dehydration dull skin damaged skin barrier rough texture,"ceramide, centella asiatica, vitamin c, berry extract","Pembersih wajah untuk semua jenis kulit yang membantu menghapus makeup dan kotoran secara menyeluruh. Mengandung ceramide, centella asiatica, vitamin C, dan berry extract untuk membantu menjaga kelembapan kulit, merawat skin barrier, dan membuat kulit terasa lebih halus serta cerah.",https://www.skintificindonesia.com/shop/facewash-skintific/skintific-cleansing-balm-makeup-remover-40g/
11,Skintific Symwhite 377 Dark Spot Serum,Serum,normal oily combination dry sensitive,dark spots hyperpigmentation acne scars dull skin uneven skin tone redness dehydration,"symwhite377, niacinamide, tranexamic acid, ceramide, centella asiatica","Serum untuk kulit kusam dan noda hitam. Mengandung SymWhite 377, niacinamide, tranexamic acid, dan ceramide untuk membantu menyamarkan noda hitam, meratakan warna kulit, menjaga kelembapan, dan menenangkan kulit.",https://www.skintificindonesia.com/shop/serum/skintific-377-serum-dark-spot-symwhite-20ml/
12,Skintific 12% AHA BHA PHA LHA Peeling Solution,Serum,oily combination acne-prone normal,clogged pores blackheads excess oil dull skin uneven skin texture enlarged pores,"glycolic acid, salicylic acid, lactobionic acid, capryloyl salicylic acid","Serum untuk kulit berminyak dan berjerawat. Mengandung glycolic acid, salicylic acid, lactobionic acid, dan LHA untuk membantu mengangkat sel kulit mati, membersihkan pori-pori, dan meratakan tekstur kulit.",https://www.skintificindonesia.com/shop/serum/skintific-2-aha-bha-pha-lha-peeling-solution/
13,Skintific 5X Ceramide Skin Barrier Serum,Serum,sensitive dry normal combination,sensitive skin redness irritation dry skin damaged skin barrier,"ceramide, probiotic complex, centella asiatica","Serum untuk kulit sensitif dan kering. Mengandung ceramide, probiotic complex, dan centella asiatica untuk membantu menenangkan kulit, menjaga kelembapan, dan memperkuat skin barrier.",https://www.skintificindonesia.com/shop/ceramide/skintific-serum-5x-ceramide-skin-barrier-serum/
14,Skintific 4D Hyaluronic Acid Hydrating Serum,Serum,dry sensitive normal combination,dehydration dry skin sensitive skin dull skin rough skin texture,"hyaluronic acid, peptide, thermal water","Serum untuk kulit kering dan dehidrasi. Mengandung hyaluronic acid, peptide, dan thermal water untuk membantu menjaga kelembapan, menyegarkan kulit, dan membuat kulit terasa lebih halus.",https://www.skintificindonesia.com/shop/serum/skintific-serum-4d-pure-hyaluronic-acid-hydrating/
15,Skintific Acne Serum 2% Salicylic Acid,Serum,oily combination acne-prone normal,acne breakouts clogged pores excess oil acne scars,"salicylic acid, niacinamide, ceramide, centella","Serum untuk kulit berjerawat. Mengandung salicylic acid, niacinamide, dan ceramide untuk membantu merawat jerawat, menyamarkan bekas jerawat, dan menjaga skin barrier.",https://www.skintificindonesia.com/shop/serum/skintific-acne-serum-2-salicylic-acid/
16,Skintific 10% Niacinamide Brightening Serum,Serum,normal oily combination dry,dull skin dark spots uneven skin tone acne scars damaged skin barrier,"alpha-arbutin, ceramide, centella","Serum untuk kulit kusam dan noda hitam. Mengandung niacinamide, alpha arbutin, ceramide, dan centella untuk membantu mencerahkan kulit, menyamarkan noda, dan menjaga skin barrier.",https://www.skintificindonesia.com/shop/serum/skintific-serum-niacinamide-10-brightening-whitening-glowing-skin/
17,Skintific Serum 3% Tranexamic Acid Advanced Bright 20ml,Serum,normal oily combination dry sensitive,dark spots hyperpigmentation uneven skin tone dull skin acne scars damaged skin barrier,"tranexamic acid, arbutin, glabridin","Serum untuk kulit kusam dan noda hitam. Mengandung tranexamic acid, arbutin, dan glabridin untuk membantu mencerahkan kulit, menyamarkan flek hitam, meratakan warna kulit, dan menjaga skin barrier.",https://www.skintificindonesia.com/shop/serum/skintific-serum-3-tranexamic-acid-advanced-bright-20ml/
18,Skintific Vitamin C Serum Brightening Facial 20ml,Serum,normal oily combination dry sensitive,dull skin dark spots uneven skin tone acne scars fine lines,"vitamin c, vitamin e, ferulic acid","Serum untuk kulit kusam dan noda hitam. Mengandung vitamin C, vitamin E, dan ferulic acid untuk membantu mencerahkan kulit, menyamarkan bekas jerawat, meratakan warna kulit, dan membantu mengurangi tanda penuaan dini.",https://www.skintificindonesia.com/shop/serum/skintific-vitamin-c-serum-brightening-facial-20ml/
19,Skintific 5x Ceramide Barrier Moisture Gel 80g,Moisturizer,normal combination dry sensitive,damaged skin barrier dehydration dry skin redness sensitive skin rough texture,"ceramide, hyaluronic acid, centella asiatica, panthenol ectoin","Pelembap untuk kulit kering dan sensitif. Mengandung 5X ceramide, hyaluronic acid, centella asiatica, dan panthenol untuk membantu menjaga kelembapan, memperkuat skin barrier, menenangkan kulit, dan membuat kulit terasa lebih halus.",https://www.skintificindonesia.com/shop/pelembab-skintific/skintific-5x-ceramide-barrier-moisture-gel-80g/
